ID_NUMBER,DATA_HORA,COR,NUMERO_DA_BOLA
WldVmg4E13,2023-02-21 00:00:00,Preto,8
XlO560Xz1O,2023-02-21 00:00:00,Preto,12
9rKbOLaZl6,2023-02-21 00:00:00,Preto,12
G17zJDaBrZ,2023-02-21 00:00:00,Preto,9
ylLzg9Px1G,2023-02-21 00:00:00,Vermelho,1
M19X6DqKrA,2023-02-21 00:00:00,Branco,0
mlN6dLm0lv,2023-02-21 00:00:00,Vermelho,2
dlEaeAPvlv,2023-02-21 00:00:00,Vermelho,4
qlPeVomQrz,2023-02-21 00:00:00,Vermelho,3
V1eK6gajlo,2023-02-21 00:00:00,Preto,9
z1xQOZzmkp,2023-02-21 00:00:00,Preto,11
5k0LqJXEkY,2023-02-21 00:00:00,Vermelho,3
Rl8XjoRalK,2023-02-21 00:00:00,Preto,14
V1qoVXwylB,2023-02-21 00:00:00,Vermelho,4
xrMa5YeDrQ,2023-02-21 00:00:00,Vermelho,3
Kl3XGDq7rN,2023-02-21 00:00:00,Preto,13
plzXYnpW1n,2023-02-21 00:00:00,Preto,12
AlAmq6bwlG,2023-02-21 00:00:00,Vermelho,2
EryVZ8bD1j,2023-02-21 00:00:00,Branco,0
RkbWYvxplL,2023-02-21 00:00:00,Preto,9
R1p2mVQgl5,2023-02-21 00:00:00,Vermelho,3
elYnz59YrL,2023-02-21 00:00:00,Vermelho,1
WldVmg2E13,2023-02-21 00:00:00,Preto,11
XlO560Az1O,2023-02-21 00:00:00,Vermelho,7
9rKbOLgZl6,2023-02-21 00:00:00,Preto,14
G17zJDABrZ,2023-02-21 00:00:00,Preto,11
ylLzg9ax1G,2023-02-21 00:00:00,Preto,14
M19X6DbKrA,2023-02-21 00:00:00,Preto,10
mlN6dLa0lv,2023-02-21 00:00:00,Vermelho,7
AlAmq6bRlG,2023-02-21 00:00:00,Vermelho,6
EryVZ8bN1j,2023-02-21 00:00:00,Preto,13
RkbWYvxwlL,2023-02-21 00:00:00,Preto,9
R1p2mVQal5,2023-02-21 00:00:00,Vermelho,4
elYnz59GrL,2023-02-21 00:00:00,Preto,8
WldVmg2A13,2023-02-21 00:00:00,Preto,10
XlO560Ay1O,2023-02-21 00:00:00,Preto,11
9rKbOLgNl6,2023-02-21 00:00:00,Preto,14
G17zJDAjrZ,2023-02-21 00:00:00,Vermelho,7
ylLzg9ab1G,2023-02-21 00:00:00,Preto,10
M19X6Db7rA,2023-02-21 00:00:00,Preto,11
mlN6dLablv,2023-02-21 00:00:00,Branco,0
dlEaeAOMlv,2023-02-21 00:00:00,Preto,9
qlPeVoyRrz,2023-02-21 00:00:00,Preto,14
V1eK6gnelo,2023-02-21 00:00:00,Preto,14
z1xQOZy4kp,2023-02-21 00:00:00,Vermelho,1
5k0LqJ08kY,2023-02-21 00:00:00,Preto,14
Rl8Xjo5XlK,2023-02-21 00:00:00,Vermelho,2
V1qoVX4XlB,2023-02-21 00:00:00,Vermelho,6
erWEg5agkX,2023-02-21 00:00:00,Preto,14
V1eK6goelo,2023-02-21 00:00:00,Preto,14
